Census_Tract,Year,PM2.5,Diabetes,Percent_Black_Only,Percent_American_Indian_and_Alaska_Native_Only,Percent_Hispanic,Education,Linguistic_Isolation,Unemployment,Poverty,latino_bin
6001435103,2014,8.6845303,8.8,8.2,0,9.4,6.6,2.1,3.1,3.8,0
6001435104,2014,8.8579998,8.7,11.6,0.2,33.2,15.2,12,6.8,18.5,0
6001435200,2014,8.9986696,8.9,26.1,0.8,25.3,8.3,8.5,10,11.3,0
6001435300,2014,8.9986696,11.6,22.5,0.4,33,16,11.7,13.5,24.8,0
6001435400,2014,8.8695898,9.5,19.3,0,36.1,18.7,8.5,7.4,12.6,1
6001435500,2014,8.9986696,10.4,4.5,0.1,45.9,23.7,17,10.1,16.6,1
6001436300,2014,8.8695898,9.7,12.2,0,52.2,26.8,24.7,11.1,17,1
6001436401,2014,8.8695898,8.8,13.8,0,32.9,12.2,8.9,8.1,15.5,0
6001436402,2014,8.8579998,10.6,15.9,0.3,25.3,6.1,3.5,3.9,6.5,0
6001436500,2014,8.8695898,7.7,18.8,0,37.3,16.3,10.6,10.3,24.5,1
6001436601,2014,8.8695898,10.1,12.7,0.1,59.8,28.5,30.4,8.4,14.9,1
6001436602,2014,8.8695898,9.6,20.7,0.2,44.4,22.1,22.1,5.9,19,1
6001436700,2014,8.8695898,10.9,8.3,0,50.2,19.2,18.8,8.8,21.7,1
6001436800,2014,8.8695898,9.9,16,0.6,37.4,15.7,15.7,9.1,7.8,1
6001436900,2014,8.96451,10.1,3.6,0,64.4,29.9,30.6,9.8,16.6,1
6001437000,2014,8.96451,10.3,18.9,1.1,29.1,14.4,9.4,10.8,5.1,0
6001437101,2014,8.96451,8.9,4.9,0,17.8,14.2,5,4.8,2.4,0
6001437102,2014,8.9153795,10.6,12.2,0,33.4,15.7,11,13.2,14.3,0
6001437200,2014,8.96451,11.3,13.3,0.8,29,11.5,5.6,7.6,14.7,0
6001437300,2014,8.8695898,11.4,15.2,2,33.2,19,15.8,11,16.1,0
6001437400,2014,8.8695898,10.1,1.3,0.4,51.9,21.6,15.5,11.6,3.6,1
6001437500,2014,8.8695898,11,4.4,0.2,61.2,34.7,31.3,9,31.4,1
6001437600,2014,8.9153795,13.8,9.6,0,50.8,39.2,29.7,10.9,17.8,1
6001437701,2014,8.9153795,11.1,9.3,0,58.8,32.1,23.9,9.2,29,1
6001437702,2014,8.8695898,10,7.1,0.6,72.4,44.6,48.6,12.5,31.5,1
6001437800,2014,8.8695898,9.7,10.7,0,42.7,20.2,19,8.8,5.3,1
6001437900,2014,8.8695898,9.9,12.6,1.1,60.4,22.6,23.7,11.4,10.4,1
6001438000,2014,8.7778902,8.6,0.7,0,38.8,14.6,11.9,7.8,6.4,1
6001438100,2014,8.7778902,9.6,11.4,0,36.2,18.2,13.2,9.3,9.3,1
6001438201,2014,8.9153795,11.1,5.6,0,54.8,25.8,22.7,9,9.7,1
