Census_Tract,Year,PM2.5,Diabetes,Percent_Black_Only,Percent_American_Indian_and_Alaska_Native_Only,Percent_Hispanic,Education,Linguistic_Isolation,Unemployment,Poverty,Percent_White_Only,latino_bin
6037480903,2014,13.6739,12.6,1,0,36.8,22.3,7.7,4.8,22.8,4.6,1
6037481001,2014,13.4387,11.8,1.6,0,35.7,24.7,6.8,4.8,15.7,12.1,1
6037481002,2014,13.4387,10.4,0.9,0,40.5,19,2.1,4.2,12,3.5,1
6037481500,2014,13.4387,13.9,0,0.2,18,24.1,4.4,3.4,20.6,9.9,0
6037481603,2014,13.4387,11.8,0.6,0,16.7,28.6,4.8,6.5,18.4,5.8,0
6037481604,2014,13.4387,10.9,1.8,0,27.2,20.9,5.9,4.1,14.7,7.9,0
6037481605,2014,13.6739,13.3,0,1.6,26,32.5,3.5,2.8,16.2,10.8,0
6037481606,2014,13.6739,12.6,1.1,0,25,28.6,3.7,6.9,25,5.3,0
6037481800,2014,13.6739,13.3,0.3,0,24,15.7,4.1,4.7,9.8,15.9,0
6037481901,2014,13.6739,11.7,0.3,0,41.7,17,6.9,4.7,6.9,14.3,1
6037481902,2014,13.6739,11.5,1.2,0,57.8,17.8,8,2.6,5.5,7.8,1
6037500201,2014,13.2245,10,0.2,0,40.2,12.2,2.4,2.5,5,51.9,1
6037500202,2014,13.2245,10,1.3,1.3,48.1,9.1,3.7,3.8,3.9,34.4,1
6037501002,2014,13.5438,10.4,3,0.5,78.5,16,14.3,10.1,8,16,1
6037501200,2014,13.5635,10.8,1.5,0.3,78.6,16,13.4,7.6,12.9,16.5,1
6037501300,2014,13.5635,9.9,0.9,0,72,17.8,9.9,6.2,11.6,20.6,1
6037501400,2014,13.2638,11.8,0,0,88.1,32.2,30.7,7.2,19.2,9.6,1
6037501501,2014,13.6096,9.6,1.6,0.3,55.9,6.2,6.4,6.2,4.4,33.6,1
6037501503,2014,13.2638,8.5,3.8,0,70.3,11.3,6.8,6.3,14.8,23.9,1
6037501504,2014,13.2638,13,0.5,1.8,76.6,22.9,16.2,7.4,23.5,15.3,1
6037501600,2014,13.2638,8.7,0.7,0.2,51.6,11.1,9.2,2.4,9.7,36.9,1
6037501700,2014,13.2638,9.7,0,0,61,7.3,5.5,6.2,11.6,35.6,1
6037501802,2014,13.2638,10,0.2,0,71.9,19.6,8.1,5.9,8.8,26,1
6037501803,2014,13.2638,11.8,2.5,0,85.1,34,30.8,5.5,36.1,8.2,1
6037501804,2014,13.2638,12.1,0,0,79.6,26.5,21.7,6.9,25.9,17.9,1
6037501900,2014,13.2638,9.8,0,0,66.9,11.2,11.3,5.4,5.6,28.9,1
6037502003,2014,13.2638,11.1,0.3,0,86.8,28.1,21.1,6.5,15.8,10.8,1
6037502004,2014,13.2638,11.4,3.1,0,90,39.8,29.2,9.9,19.1,5.6,1
6037502005,2014,13.2638,10.3,1.8,0,70.1,12.8,16.8,4.4,7.9,18.3,1
6037502100,2014,13.2638,15.7,0.7,0,82.8,27.7,17.5,6.1,8.3,14,1
6037503301,2014,13.2638,9,0,0,63.7,6.2,6.6,5.9,11.7,31.6,1
6037503401,2014,13.1934,9.3,1.4,0.1,51.6,8.4,6.3,4.2,8.3,38,1
6037503402,2014,13.0179,9.2,0.6,0,53.8,8.4,2.6,5.2,5.4,40.3,1
6037503502,2014,13.0179,9.9,0,0,60.6,18.7,8.8,4.7,10.9,30.7,1
6037535501,2014,13.4734,14.6,1,0,98.2,54.1,44.8,9.5,25.3,0.8,1
